"scientific_name.raw","common_name.raw","scientific_name.edit","common_name.edit","edit_notes","scientific_id","accepted_scientific_name"
"Larus argentatus vegae","Herring Gull (Vega)","Larus argentatus vegae","Herring Gull (Vega)",NA,"GBIF:5789289","Larus vegae"
"Colaptes cafer","Red-Shafted Flicker","Colaptes cafer","Red-Shafted Flicker",NA,"GBIF:6177452","Colaptes auratus cafer"
"Tyto alba furcata","Barn Owl (White-Winged)","Tyto alba furcata","Barn Owl (White-Winged)",NA,"GBIF:9568884","Tyto furcata"
"Gallus domesticus","Domestic Chicken","Gallus domesticus","Domestic Chicken",NA,"GBIF:9326020","Gallus gallus"
"Pterocnemia pennata","Rhea","Pterocnemia pennata","Rhea",NA,"GBIF:2495160","Rhea pennata"
"Gallus domesticus","Chicken","Gallus domesticus","Chicken",NA,"GBIF:9326020","Gallus gallus"
"Carduelis flammea","Common Redpoll","Carduelis flammea","Common Redpoll",NA,"GBIF:5231630","Acanthis flammea"
"Spizella arborea","American Tree Swallow","Spizella arborea","American Tree Swallow",NA,"GBIF:7357320","Spizelloides arborea"
"Gallus domesticus","Domesticated Chicken","Gallus domesticus","Domesticated Chicken",NA,"GBIF:9326020","Gallus gallus"
"Dendroica nigrescens","Gray Warbler","Dendroica nigrescens","Gray Warbler",NA,"GBIF:7341770","Setophaga nigrescens"
