"region_code","region_url"
"NAM","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=NAM&version=text"
"CAM","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=CAM&version=text"
"SAM","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=SAM&version=text"
"EUR","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=EUR&version=text"
"AFR","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=AFR&version=text"
"ASI","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=ASI&version=text"
"MID","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=MID&version=text"
"OCE","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=OCE&version=text"
"AUS","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=AUS&version=text"
"PAC","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=PAC&version=text"
"hol","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=hol&version=text"
"nea","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=nea&version=text"
"pal","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=pal&version=text"
"oaq","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=oaq&version=text"
"oat","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=oat&version=text"
"oar","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=oar&version=text"
"oin","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements=&region=oin&version=text"
"opa","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=opa&version=text"
"XX","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=XX&version=text"
"CA","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=CA&version=text"
"US48","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=US48&version=text"
"USak","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=USak&version=text"
"UShi","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=UShi&version=text"
"CAR","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=CAR&version=text"
"nan","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=nan&version=text"
"TT","https://avibase.bsc-eoc.org/checklist.jsp?lang=EN&p2=1&list=clements&region=TT&version=text"
