old_name,type,stage,subset,new_name,location_old,location_new
AvianInteractionData_L1_taxonomy_resolutions.csv,auxiliary_info,L1,NA,aux_taxonomy_resolutions.csv,main/R/L1,main/R/L1
AvianInteractionData_metadata_interactiondefinitions.csv,auxiliary_info,L1,NA,aux_interaction_defs.csv,,
interaction_text_corrections.csv,auxiliary_info,L0,NA,aux_text_corrections.csv,,
manual_taxonomic_resolutions_L1_2025-10.csv,auxiliary_info,L1,NA,aux_taxonomy_resolutions_202510.csv,,
AvianInteractionData_CanadaAKCONUS_breeding_L1.csv,interaction_network,L1,partial,ain_cac_breeding.csv,Working/L1,Working/L1
AvianInteractionData_CanadaAKCONUS_L1.csv,interaction_network,L1,partial,ain_cac.csv,Working/L1,Working/L1
AvianInteractionData_L0_stitch_20251204.csv,interaction_network,L0,full,ain_all_raw.csv,Working/L1,Working/L0
AvianInteractionData_L1.csv,interaction_network,L1,full,ain_all.csv,Working/L1,Working/L1
AvianInteractionData_L1_not_CanadaAKCONUS.csv,interaction_network,L1,partial,ain_notcac.csv,Working/L1,Working/L1
AvianInteractionData_Canada-AK-CONUS_L1.qmd,script,L1,partial,5_subset_network.qmd,,
AvianInteractionData_L1.qmd,script,L1,full,4_clean_network_data.R,,
AvianInteractionData_specieslists_Canada_CONUS_L1.R,script,L1,partial,3_subset_species_lists.R,,
AvianInteractionData_specieslists_L0.R,script,L0,full,1_generate_species_lists.R,,
config.R,script,NA,NA,config.R,,
L0_functions.R,script,L0,NA,X_functions.R,,
L0_stitch.R,script,L0,full,2_stitch_species.R,,
L1_taxonomy_functions.R,script,L1,NA,X_taxonomy_functions.R,,
avibase_ca.conus_splist_2024_L0.csv,species_list,L0,partial,spp_avibase_cac_2024.csv,,
avibase_global_splist_2024_L0.csv,species_list,L0,full,spp_avibase_all_2024.csv,,
avibase_west.hsphere_splist_2024_L0.csv,species_list,L0,full,spp_avibase_westh_2024.csv,,
bbs_splist_2022_L0.csv,species_list,L0,full,spp_bbs_2022_raw.csv,,
bbs_splist_2024_L0.csv,species_list,L0,full,spp_bbs_2024_clean.csv,,
BBS2024_SpeciesListL0.csv,species_list,L0,full,spp_bbs_2024_raw.csv,,
canada.conus.splist_L1.csv,species_list,L1,partial,spp_joint_cac.csv,,
df_bbs_or_avibase_no_rare_ca.conus_keep_or_not.csv,species_list,L1,partial,spp_bbs_avibase_no_rare_to_check.csv,,
df_bbs_or_avibase_no_rare_ca.conus_keep_or_not_checked.csv,species_list,L1,partial,spp_bbs_avibase_no_rare_checked.csv,,
eBird-Clements-v2024-integrated-checklist-October-2024-rev.csv,species_list,L1,partial,spp_joint_all.csv,,
splist_CanadaAKCONUS_L1.csv,species_list,L0,NA,spp_joint_cac_colsubset.csv,,
BBS_specieslist_diffs2023-2024.csv,,,,,,
AvianInteractionData_metadata_version1.csv,auxiliary_info,L0,full,ain_metadata_colnames_v1,,
AvianInteractionData_metadata_version0.csv,auxiliary_info,L0,full,ain_metadata_colnames_v0,,
